conv1_out,conv2_out,stride,kernel_size,padding,optimizer,lr,momentum,batch_size,epochs,val_accuracy
16,64,1,3,1,SGD,0.001,0.9,32,5,0.8812222222222222
16,64,1,3,1,SGD,0.001,0.9,64,5,0.8696666666666667
16,64,1,3,1,SGD,0.01,0.0,16,5,0.894
16,64,1,3,1,SGD,0.01,0.0,32,5,0.8844444444444445
16,64,1,3,1,SGD,0.01,0.0,64,5,0.8605555555555555
16,64,1,3,1,SGD,0.01,0.5,16,5,0.9068888888888889
16,64,1,3,1,SGD,0.01,0.5,32,5,0.8914444444444445
16,64,1,3,1,SGD,0.01,0.5,64,5,0.89
16,64,1,3,1,SGD,0.01,0.9,16,5,0.9185555555555556
16,64,1,3,1,SGD,0.01,0.9,32,5,0.9232222222222223
16,64,1,3,1,SGD,0.01,0.9,64,5,0.9154444444444444
16,64,1,3,2,SGD,0.001,0.0,16,5,0.8255555555555556
16,64,1,3,2,SGD,0.001,0.0,32,5,0.8107777777777778
16,64,1,3,2,SGD,0.001,0.0,64,5,0.7595555555555555
16,64,1,3,2,SGD,0.001,0.5,16,5,0.8615555555555555
16,64,1,3,2,SGD,0.001,0.5,32,5,0.8281111111111111
16,64,1,3,2,SGD,0.001,0.5,64,5,0.8113333333333334
16,64,1,3,2,SGD,0.001,0.9,16,5,0.8981111111111111
16,64,1,3,2,SGD,0.001,0.9,32,5,0.8783333333333333
16,64,1,3,2,SGD,0.001,0.9,64,5,0.8686666666666667
16,64,1,3,2,SGD,0.01,0.0,16,5,0.8816666666666667
16,64,1,3,2,SGD,0.01,0.0,32,5,0.8784444444444445
16,64,1,3,2,SGD,0.01,0.0,64,5,0.8672222222222222
16,64,1,3,2,SGD,0.01,0.5,16,5,0.9091111111111111
16,64,1,3,2,SGD,0.01,0.5,32,5,0.8972222222222223
16,64,1,3,2,SGD,0.01,0.5,64,5,0.8925555555555555
16,64,1,3,2,SGD,0.01,0.9,16,5,0.9101111111111111
16,64,1,3,2,SGD,0.01,0.9,32,5,0.9162222222222223
16,64,1,3,2,SGD,0.01,0.9,64,5,0.9081111111111111
16,64,1,5,1,SGD,0.001,0.0,16,5,0.8098888888888889
16,64,1,5,1,SGD,0.001,0.0,32,5,0.7851111111111111
16,64,1,5,1,SGD,0.001,0.0,64,5,0.7398888888888889
16,64,1,5,1,SGD,0.001,0.5,16,5,0.8405555555555555
16,64,1,5,1,SGD,0.001,0.5,32,5,0.7992222222222222
16,64,1,5,1,SGD,0.001,0.5,64,5,0.7766666666666666
16,64,1,5,1,SGD,0.001,0.9,16,5,0.8926666666666667
16,64,1,5,1,SGD,0.001,0.9,32,5,0.8867777777777778
16,64,1,5,1,SGD,0.001,0.9,64,5,0.8666666666666667
16,64,1,5,1,SGD,0.01,0.0,16,5,0.897
